index_col,tweet_text,country,no_user_mentions,ukraine,russia,ukrainewar,istandwithukraine,standwithukraineflag,istandwithputin,istandwithrussia,russianukrainewar
260,occupied territories military destroying medical infrastructure removing equipment equip ,France,1,0,0,0,0,0,0,0,0
261,sources released images reportedly show departing combat su ,Niger,1,1,0,0,0,0,0,0,0
262,nice compilation glory ,Bulgaria,1,1,0,0,0,0,0,0,0
263,hey mr money bags ,Ireland,4,1,0,0,0,0,0,0,0
264,help coming denmark another small nato nation pop sending armored personnel carriers including piranha iiis ,United States,1,0,0,0,0,0,0,0,0
265,deserve die end days prison together putler accomplices ,Denmark,0,0,0,0,0,0,0,0,0
266,gonna call ,Colombia,1,1,0,0,0,0,0,0,0
267,still control despite repeated claims glory htt ,Canada,1,1,0,0,0,0,0,0,0
268,russian reconnaissance plane violated swedish air space stockholm says via ,Portugal,2,0,1,0,0,0,0,0,0
269,new may june issue new dawn magazine dropped featuring mainstream media ,Ireland,2,0,0,0,0,0,0,0,0
270,inside angelina jolie visit ukraine amid russia invasion ,United States,0,2,1,0,0,0,0,0,0
271,update yesterday attack rus hq designed liquidate high value target chief g ,Iceland,1,1,0,0,0,0,0,0,0
272,war monger liar residents disrupt rally foreign minister annalena ,Niger,1,0,0,0,0,0,0,0,0
273,infamous open letter intellectuals amp artists calling stop supporting amp effectively fo ,Switzerland,1,1,0,0,0,0,0,0,0
274,odesa place may bank holidays parties replaced day curfew year ,Netherlands,1,1,0,0,0,0,0,0,0
275,prominent lithuanian pianist darius magintas played open air near ruined house culture irpin called h ,Niger,1,0,0,0,0,0,0,0,0
276,icon among completely destroyed buildings borodyanka ,Mexico,1,1,0,0,0,0,0,0,0
277,occupied territories military destroying medical infrastructure removing equipment equip ,France,1,0,0,0,0,0,0,0,0
278,amazing news story natalia amp veronica showing bravery courage defending beloved co ,Jersey,1,0,0,0,0,0,0,0,0
279, misled young ukrainian president join devilish organization nato without taking ,Cameroon,1,0,0,0,0,0,0,0,0
280,large explosion fire reported belgorod earlier large military presence reported city ,Canada,1,0,0,0,0,0,0,0,0
281,watch exclusive army chief gen manoj pande amp talks border ,India,3,0,0,0,0,0,0,0,0
282,paid million rubles ukrainian pensioners state employees forsaken ,Niger,1,1,1,0,0,0,0,0,0
283,russian btr destroyed ukrainian uav corrected artillery fire battles eastern front ,Portugal,1,1,1,0,0,0,0,0,0
284,yet another russian ka attack helicopter struck ukrainian stugna p atgm predictable results htt ,Estonia,1,1,0,0,0,0,0,0,0
285,one hand ,Denmark,1,0,0,0,0,0,0,0,0
286,world sees describing epicenter unbearable heartache pain took ,United States,2,1,0,0,0,0,0,0,0
287,gonna call ,United States,1,1,0,0,0,0,0,0,0
288,update yesterday attack rus hq designed liquidate high value target chief g ,Germany,1,1,0,0,0,0,0,0,0
289,kiev makes decision cut essential services abdicates authority areas government paid ,Niger,1,0,0,0,0,0,0,0,0
290, us amp europe indispensable coexistence connection nation states ,Poland,1,1,0,0,0,0,0,0,0
291,occupied territories military destroying medical infrastructure removing equipment equip ,France,1,0,0,0,0,0,0,0,0
292,fm always good conversation foreign secretary situation possib ,Finland,3,1,0,0,0,0,0,0,0
293, cabinet ministers ukraine raised maximum level trade markup diesel fuel uah ,Ukraine,0,1,0,0,0,0,0,0,0
294,year old boy sees world raped soldier front mother find ,Finland,1,0,1,0,0,0,0,0,0
295,paris eliminated within seconds berlin take seconds destroy ottawa take seconds ,India,1,0,0,0,0,0,0,0,0
296, disgusting band criminals looting raping destroying everything ,Austria,0,0,0,0,0,0,0,0,0
297,year old boy sees world raped soldier front mother find ,Iceland,1,0,1,0,0,0,0,0,0
298,nice compilation glory ,Germany,1,1,0,0,0,0,0,0,0
299,sticky rumor gerasimov hurt izyum ukraine really make sense send chief general st ,Portugal,1,1,0,0,0,0,0,0,0
300,interesting,Zimbabwe,0,0,0,0,0,0,0,0,0
